Year,Senator,State,Party,Age
1842,William C. Preston,South Carolina,Whig,48
1842,Franklin Pierce,New Hampshire,Democratic,38
1842,Samuel L. Southard,New Jersey,Whig,55
1842,John C. Calhoun,South Carolina,Democratic,60
1842,Oliver H. Smith,Indiana,Whig,48
1842,Reuel Williams,Maine,Democratic,59
1842,Richard M. Young,Illinois,Democratic,44
1842,Perry Smith,Connecticut,Democratic,59
1842,Thomas Clayton,Delaware,Whig,65
1842,William Allen,Ohio,Democratic,39
1842,William D. Merrick,Maryland,Whig,49
1842,Nathan F. Dixon,Rhode Island,Whig,68
1842,Nathaniel P. Tallmadge,New York,Whig,47
1842,John Henderson,Mississippi,Whig,45
1842,Albert S. White,Indiana,Whig,39
1842,Benjamin Tappan,Ohio,Democratic,69
1842,Samuel S. Phelps,Vermont,Whig,49
1842,Alfred O. P. Nicholson,Tennessee,Democratic,34
1842,William A. Graham,North Carolina,Whig,38
1842,Augustus S. Porter,Michigan,Whig,44
1842,Jabez W. Huntington,Connecticut,Whig,54
1842,Daniel Sturgeon,Pennsylvania,Democratic,53
1842,Willie Person Mangum,North Carolina,Whig,50
1842,John Leeds Kerr,Maryland,Whig,62
1842,Samuel McRoberts,Illinois,Democratic,43
1842,Isaac C. Bates,Massachusetts,Whig,63
1842,John M. Berrien,Georgia,Whig,61
1842,Rufus Choate,Massachusetts,Whig,43
1842,William C. Rives,Virginia,Whig,49
1842,Alexander Barrow,Louisiana,Whig,41
1842,William S. Archer,Virginia,Whig,53
1842,George Evans,Maine,Whig,45
1842,James F. Simmons,Rhode Island,Whig,47
1842,William Woodbridge,Michigan,Whig,62
1842,James T. Morehead,Kentucky,Whig,45
1842,Arthur P. Bagby,Alabama,Democratic,48
1842,Jacob W. Miller,New Jersey,Whig,42
1842,Charles M. Conrad,Louisiana,Whig,38
1842,Leonard Wilcox,New Hampshire,Democratic,43
1842,Samuel C. Crafts,Vermont,Whig,74
1842,William Sprague III,Rhode Island,Whig,43
1842,George McDuffie,South Carolina,Democratic,52
1842,John J. Crittenden,Kentucky,Whig,55
1842,William L. Dayton,New Jersey,Whig,35
1843,William R. King,Alabama,Democratic,57
1843,Thomas Hart Benton,Missouri,Democratic,61
1843,Lewis F. Linn,Missouri,Democratic,47
1843,Silas Wright Jr.,New York,Democratic,48
1843,James Buchanan,Pennsylvania,Democratic,52
1843,Alfred Cuthbert,Georgia,Democratic,58
1843,Robert J. Walker,Mississippi,Democratic,42
1843,William Savin Fulton,Arkansas,Democratic,48
1843,Ambrose H. Sevier,Arkansas,Democratic,42
1843,John C. Calhoun,South Carolina,Democratic,61
1843,Oliver H. Smith,Indiana,Whig,49
1843,Reuel Williams,Maine,Democratic,60
1843,Richard M. Young,Illinois,Democratic,45
1843,Perry Smith,Connecticut,Democratic,60
1843,Thomas Clayton,Delaware,Whig,66
1843,William Allen,Ohio,Democratic,40
1843,William D. Merrick,Maryland,Whig,50
1843,Nathaniel P. Tallmadge,New York,Whig,48
1843,John Henderson,Mississippi,Whig,46
1843,Albert S. White,Indiana,Whig,40
1843,Benjamin Tappan,Ohio,Democratic,70
1843,Samuel S. Phelps,Vermont,Whig,50
1843,William A. Graham,North Carolina,Whig,39
1843,Augustus S. Porter,Michigan,Whig,45
1843,Jabez W. Huntington,Connecticut,Whig,55
1843,Daniel Sturgeon,Pennsylvania,Democratic,54
1843,Willie Person Mangum,North Carolina,Whig,51
1843,John Leeds Kerr,Maryland,Whig,63
1843,Samuel McRoberts,Illinois,Democratic,44
1843,Isaac C. Bates,Massachusetts,Whig,64
1843,John M. Berrien,Georgia,Whig,62
1843,Rufus Choate,Massachusetts,Whig,44
1843,William C. Rives,Virginia,Whig,50
1843,Alexander Barrow,Louisiana,Whig,42
1843,William S. Archer,Virginia,Whig,54
1843,George Evans,Maine,Whig,46
1843,James F. Simmons,Rhode Island,Whig,48
1843,William Woodbridge,Michigan,Whig,63
1843,James T. Morehead,Kentucky,Whig,46
1843,Arthur P. Bagby,Alabama,Democratic,49
1843,Jacob W. Miller,New Jersey,Whig,43
1843,Charles M. Conrad,Louisiana,Whig,39
1843,Leonard Wilcox,New Hampshire,Democratic,44
1843,Samuel C. Crafts,Vermont,Whig,75
1843,William Sprague III,Rhode Island,Whig,44
1843,George McDuffie,South Carolina,Democratic,53
1843,John J. Crittenden,Kentucky,Whig,56
1843,William L. Dayton,New Jersey,Whig,36
1843,Alexander Porter,Louisiana,Whig,58
1843,Daniel Elliott Huger,South Carolina,Democratic,64
1843,William H. Haywood Jr.,North Carolina,Democratic,42
1843,John Fairfield,Maine,Democratic,46
1843,James Semple,Illinois,Democratic,45
1843,Spencer Jarnagin,Tennessee,Whig,51
1843,Walter T. Colquitt,Georgia,Democratic,44
1843,Edward A. Hannegan,Indiana,Democratic,36
1843,Charles G. Atherton,New Hampshire,Democratic,39
1843,Sidney Breese,Illinois,Democratic,43
1843,William Upham,Vermont,Whig,51
1843,David Rice Atchison,Missouri,Democratic,36
1843,James Pearce,Maryland,Whig,38
1844,William R. King,Alabama,Democratic,58
1844,Thomas Hart Benton,Missouri,Democratic,62
1844,Silas Wright Jr.,New York,Democratic,49
1844,James Buchanan,Pennsylvania,Democratic,53
1844,Robert J. Walker,Mississippi,Democratic,43
1844,William Savin Fulton,Arkansas,Democratic,49
1844,Ambrose H. Sevier,Arkansas,Democratic,43
1844,Thomas Clayton,Delaware,Whig,67
1844,William Allen,Ohio,Democratic,41
1844,William D. Merrick,Maryland,Whig,51
1844,Nathaniel P. Tallmadge,New York,Whig,49
1844,John Henderson,Mississippi,Whig,47
1844,Albert S. White,Indiana,Whig,41
1844,Benjamin Tappan,Ohio,Democratic,71
1844,Samuel S. Phelps,Vermont,Whig,51
1844,Augustus S. Porter,Michigan,Whig,46
1844,Jabez W. Huntington,Connecticut,Whig,56
1844,Daniel Sturgeon,Pennsylvania,Democratic,55
1844,Willie Person Mangum,North Carolina,Whig,52
1844,Isaac C. Bates,Massachusetts,Whig,65
1844,John M. Berrien,Georgia,Whig,63
1844,Rufus Choate,Massachusetts,Whig,45
1844,William C. Rives,Virginia,Whig,51
1844,Alexander Barrow,Louisiana,Whig,43
1844,William S. Archer,Virginia,Whig,55
1844,George Evans,Maine,Whig,47
1844,James F. Simmons,Rhode Island,Whig,49
1844,William Woodbridge,Michigan,Whig,64
1844,James T. Morehead,Kentucky,Whig,47
1844,Arthur P. Bagby,Alabama,Democratic,50
1844,Jacob W. Miller,New Jersey,Whig,44
1844,William Sprague III,Rhode Island,Whig,45
1844,George McDuffie,South Carolina,Democratic,54
1844,John J. Crittenden,Kentucky,Whig,57
1844,William L. Dayton,New Jersey,Whig,37
1844,Alexander Porter,Louisiana,Whig,59
1844,Daniel Elliott Huger,South Carolina,Democratic,65
1844,William H. Haywood Jr.,North Carolina,Democratic,43
1844,John Fairfield,Maine,Democratic,47
1844,James Semple,Illinois,Democratic,46
1844,Spencer Jarnagin,Tennessee,Whig,52
1844,Walter T. Colquitt,Georgia,Democratic,45
1844,Edward A. Hannegan,Indiana,Democratic,37
1844,Charles G. Atherton,New Hampshire,Democratic,40
1844,Sidney Breese,Illinois,Democratic,44
1844,William Upham,Vermont,Whig,52
1844,David Rice Atchison,Missouri,Democratic,37
1844,James Pearce,Maryland,Whig,39
1844,Henry A. Foster,New York,Democratic,44
1844,John Brown Francis,Rhode Island,Law and Order,53
1844,Dixon Hall Lewis,Alabama,Democratic,42
1844,Chester Ashley,Arkansas,Democratic,54
1844,Henry Johnson,Louisiana,Whig,61
1844,Daniel S. Dickinson,New York,Democratic,44
1845,Thomas Hart Benton,Missouri,Democratic,63
1845,James Buchanan,Pennsylvania,Democratic,54
1845,Robert J. Walker,Mississippi,Democratic,44
1845,Ambrose H. Sevier,Arkansas,Democratic,44
1845,Thomas Clayton,Delaware,Whig,68
1845,William Allen,Ohio,Democratic,42
1845,William D. Merrick,Maryland,Whig,52
1845,John Henderson,Mississippi,Whig,48
1845,Albert S. White,Indiana,Whig,42
1845,Benjamin Tappan,Ohio,Democratic,72
1845,Samuel S. Phelps,Vermont,Whig,52
1845,Augustus S. Porter,Michigan,Whig,47
1845,Jabez W. Huntington,Connecticut,Whig,57
1845,Daniel Sturgeon,Pennsylvania,Democratic,56
1845,Willie Person Mangum,North Carolina,Whig,53
1845,Isaac C. Bates,Massachusetts,Whig,66
1845,John M. Berrien,Georgia,Whig,64
1845,Rufus Choate,Massachusetts,Whig,46
1845,William C. Rives,Virginia,Whig,52
1845,Alexander Barrow,Louisiana,Whig,44
1845,William S. Archer,Virginia,Whig,56
1845,George Evans,Maine,Whig,48
1845,James F. Simmons,Rhode Island,Whig,50
1845,William Woodbridge,Michigan,Whig,65
1845,James T. Morehead,Kentucky,Whig,48
1845,Arthur P. Bagby,Alabama,Democratic,51
1845,Jacob W. Miller,New Jersey,Whig,45
1845,George McDuffie,South Carolina,Democratic,55
1845,John J. Crittenden,Kentucky,Whig,58
1845,William L. Dayton,New Jersey,Whig,38
1845,Daniel Elliott Huger,South Carolina,Democratic,66
1845,William H. Haywood Jr.,North Carolina,Democratic,44
1845,John Fairfield,Maine,Democratic,48
1845,James Semple,Illinois,Democratic,47
1845,Spencer Jarnagin,Tennessee,Whig,53
1845,Walter T. Colquitt,Georgia,Democratic,46
1845,Edward A. Hannegan,Indiana,Democratic,38
1845,Charles G. Atherton,New Hampshire,Democratic,41
1845,Sidney Breese,Illinois,Democratic,45
1845,William Upham,Vermont,Whig,53
1845,David Rice Atchison,Missouri,Democratic,38
1845,James Pearce,Maryland,Whig,40
1845,Henry A. Foster,New York,Democratic,45
1845,John Brown Francis,Rhode Island,Law and Order,54
1845,Dixon Hall Lewis,Alabama,Democratic,43
1845,Chester Ashley,Arkansas,Democratic,55
1845,Henry Johnson,Louisiana,Whig,62
1845,Daniel S. Dickinson,New York,Democratic,45
1845,Benning W. Jenness,New Hampshire,Democratic,39
1845,Isaac S. Pennybacker,Virginia,Democratic,40
1845,John M. Berrien,Georgia,Whig,64
1845,Joseph W. Chalmers,Mississippi,Democratic,39
1845,Jesse Speight,Mississippi,Democratic,50
1845,Lewis Cass,Michigan,Democratic,63
1845,John Adams Dix,New York,Democratic,47
1845,John M. Clayton,Delaware,Whig,49
1845,James Westcott,Florida,Democratic,43
1845,Reverdy Johnson,Maryland,Whig,49
1845,Simon Cameron,Pennsylvania,Democratic,46
1845,Daniel Webster,Massachusetts,Whig,63
1845,Thomas Corwin,Ohio,Whig,51
1845,John C. Calhoun,South Carolina,Democratic,63
1845,Albert C. Greene,Rhode Island,Whig,53
1845,David Levy Yulee,Florida,Democratic,35
1845,Hopkins L. Turney,Tennessee,Democratic,48
1845,John Davis,Massachusetts,Whig,58
1845,Jesse D. Bright,Indiana,Democratic,33
1846,Thomas Hart Benton,Missouri,Democratic,64
1846,Ambrose H. Sevier,Arkansas,Democratic,45
1846,Thomas Clayton,Delaware,Whig,69
1846,William Allen,Ohio,Democratic,43
1846,Samuel S. Phelps,Vermont,Whig,53
1846,Jabez W. Huntington,Connecticut,Whig,58
1846,Daniel Sturgeon,Pennsylvania,Democratic,57
1846,Willie Person Mangum,North Carolina,Whig,54
1846,Alexander Barrow,Louisiana,Whig,45
1846,William S. Archer,Virginia,Whig,57
1846,George Evans,Maine,Whig,49
1846,James F. Simmons,Rhode Island,Whig,51
1846,William Woodbridge,Michigan,Whig,66
1846,James T. Morehead,Kentucky,Whig,49
1846,Arthur P. Bagby,Alabama,Democratic,52
1846,Jacob W. Miller,New Jersey,Whig,46
1846,George McDuffie,South Carolina,Democratic,56
1846,John J. Crittenden,Kentucky,Whig,59
1846,William L. Dayton,New Jersey,Whig,39
1846,William H. Haywood Jr.,North Carolina,Democratic,45
1846,John Fairfield,Maine,Democratic,49
1846,James Semple,Illinois,Democratic,48
1846,Spencer Jarnagin,Tennessee,Whig,54
1846,Walter T. Colquitt,Georgia,Democratic,47
1846,Edward A. Hannegan,Indiana,Democratic,39
1846,Charles G. Atherton,New Hampshire,Democratic,42
1846,Sidney Breese,Illinois,Democratic,46
1846,William Upham,Vermont,Whig,54
1846,David Rice Atchison,Missouri,Democratic,39
1846,James Pearce,Maryland,Whig,41
1846,Dixon Hall Lewis,Alabama,Democratic,44
1846,Chester Ashley,Arkansas,Democratic,56
1846,Henry Johnson,Louisiana,Whig,63
1846,Daniel S. Dickinson,New York,Democratic,46
1846,Benning W. Jenness,New Hampshire,Democratic,40
1846,Isaac S. Pennybacker,Virginia,Democratic,41
1846,John M. Berrien,Georgia,Whig,65
1846,Joseph W. Chalmers,Mississippi,Democratic,40
1846,Jesse Speight,Mississippi,Democratic,51
1846,Lewis Cass,Michigan,Democratic,64
1846,John Adams Dix,New York,Democratic,48
1846,John M. Clayton,Delaware,Whig,50
1846,James Westcott,Florida,Democratic,44
1846,Reverdy Johnson,Maryland,Whig,50
1846,Simon Cameron,Pennsylvania,Democratic,47
1846,Daniel Webster,Massachusetts,Whig,64
1846,Thomas Corwin,Ohio,Whig,52
1846,John C. Calhoun,South Carolina,Democratic,64
1846,Albert C. Greene,Rhode Island,Whig,54
1846,David Levy Yulee,Florida,Democratic,36
1846,Hopkins L. Turney,Tennessee,Democratic,49
1846,John Davis,Massachusetts,Whig,59
1846,Jesse D. Bright,Indiana,Democratic,34
1846,Joseph Cilley,New Hampshire,Liberty,55
1846,Sam Houston,Texas,Democratic,53
1846,George E. Badger,North Carolina,Whig,51
1846,Augustus C. Dodge,Iowa,Democratic,34
1846,Andrew Butler,South Carolina,Democratic,50
1846,Thomas Jefferson Rusk,Texas,Democratic,43
1847,Thomas Hart Benton,Missouri,Democratic,65
1847,Ambrose H. Sevier,Arkansas,Democratic,46
1847,Thomas Clayton,Delaware,Whig,70
1847,William Allen,Ohio,Democratic,44
1847,Samuel S. Phelps,Vermont,Whig,54
1847,Jabez W. Huntington,Connecticut,Whig,59
1847,Daniel Sturgeon,Pennsylvania,Democratic,58
1847,Willie Person Mangum,North Carolina,Whig,55
1847,William S. Archer,Virginia,Whig,58
1847,George Evans,Maine,Whig,50
1847,James F. Simmons,Rhode Island,Whig,52
1847,William Woodbridge,Michigan,Whig,67
1847,James T. Morehead,Kentucky,Whig,50
1847,Arthur P. Bagby,Alabama,Democratic,53
1847,Jacob W. Miller,New Jersey,Whig,47
1847,John J. Crittenden,Kentucky,Whig,60
1847,William L. Dayton,New Jersey,Whig,40
1847,John Fairfield,Maine,Democratic,50
1847,James Semple,Illinois,Democratic,49
1847,Spencer Jarnagin,Tennessee,Whig,55
1847,Walter T. Colquitt,Georgia,Democratic,48
1847,Edward A. Hannegan,Indiana,Democratic,40
1847,Charles G. Atherton,New Hampshire,Democratic,43
1847,Sidney Breese,Illinois,Democratic,47
1847,William Upham,Vermont,Whig,55
1847,David Rice Atchison,Missouri,Democratic,40
1847,James Pearce,Maryland,Whig,42
1847,Dixon Hall Lewis,Alabama,Democratic,45
1847,Chester Ashley,Arkansas,Democratic,57
1847,Henry Johnson,Louisiana,Whig,64
1847,Daniel S. Dickinson,New York,Democratic,47
1847,Isaac S. Pennybacker,Virginia,Democratic,42
1847,John M. Berrien,Georgia,Whig,66
1847,Joseph W. Chalmers,Mississippi,Democratic,41
1847,Jesse Speight,Mississippi,Democratic,52
1847,Lewis Cass,Michigan,Democratic,65
1847,John Adams Dix,New York,Democratic,49
1847,John M. Clayton,Delaware,Whig,51
1847,James Westcott,Florida,Democratic,45
1847,Reverdy Johnson,Maryland,Whig,51
1847,Simon Cameron,Pennsylvania,Democratic,48
1847,Daniel Webster,Massachusetts,Whig,65
1847,Thomas Corwin,Ohio,Whig,53
1847,John C. Calhoun,South Carolina,Democratic,65
1847,Albert C. Greene,Rhode Island,Whig,55
1847,David Levy Yulee,Florida,Democratic,37
1847,Hopkins L. Turney,Tennessee,Democratic,50
1847,John Davis,Massachusetts,Whig,60
1847,Jesse D. Bright,Indiana,Democratic,35
1847,Joseph Cilley,New Hampshire,Liberty,56
1847,Sam Houston,Texas,Democratic,54
1847,George E. Badger,North Carolina,Whig,52
1847,Augustus C. Dodge,Iowa,Democratic,35
1847,Andrew Butler,South Carolina,Democratic,51
1847,Thomas Jefferson Rusk,Texas,Democratic,44
1847,Pierre Soulé,Louisiana,Democratic,46
1847,John P. Hale,New Hampshire,Independent Democrat,41
1847,Roger S. Baldwin,Connecticut,Whig,54
1847,Jefferson Davis,Mississippi,Democratic,40
1847,John M. Berrien,Georgia,Whig,66
1847,Henry S. Foote,Mississippi,Democratic,43
1847,Alpheus Felch,Michigan,Democratic,43
1847,Solomon W. Downs,Louisiana,Democratic,46
1847,John Hopkins Clarke,Rhode Island,Whig,58
1847,Presley Spruance,Delaware,Whig,62
1847,James W. Bradbury,Maine,Democratic,45
1847,Joseph R. Underwood,Kentucky,Whig,56
1847,John Bell,Tennessee,Whig,51
1847,James M. Mason,Virginia,Democratic,49
1847,Stephen A. Douglas,Illinois,Democratic,34
1847,Robert M. T. Hunter,Virginia,Democratic,38
1848,Thomas Hart Benton,Missouri,Democratic,66
1848,Ambrose H. Sevier,Arkansas,Democratic,47
1848,William Allen,Ohio,Democratic,45
1848,Samuel S. Phelps,Vermont,Whig,55
1848,Daniel Sturgeon,Pennsylvania,Democratic,59
1848,Willie Person Mangum,North Carolina,Whig,56
1848,Arthur P. Bagby,Alabama,Democratic,54
1848,Jacob W. Miller,New Jersey,Whig,48
1848,John J. Crittenden,Kentucky,Whig,61
1848,William L. Dayton,New Jersey,Whig,41
1848,Walter T. Colquitt,Georgia,Democratic,49
1848,Edward A. Hannegan,Indiana,Democratic,41
1848,Charles G. Atherton,New Hampshire,Democratic,44
1848,Sidney Breese,Illinois,Democratic,48
1848,William Upham,Vermont,Whig,56
1848,David Rice Atchison,Missouri,Democratic,41
1848,James Pearce,Maryland,Whig,43
1848,Dixon Hall Lewis,Alabama,Democratic,46
1848,Chester Ashley,Arkansas,Democratic,58
1848,Henry Johnson,Louisiana,Whig,65
1848,Daniel S. Dickinson,New York,Democratic,48
1848,Lewis Cass,Michigan,Democratic,66
1848,John Adams Dix,New York,Democratic,50
1848,John M. Clayton,Delaware,Whig,52
1848,James Westcott,Florida,Democratic,46
1848,Reverdy Johnson,Maryland,Whig,52
1848,Simon Cameron,Pennsylvania,Democratic,49
1848,Daniel Webster,Massachusetts,Whig,66
1848,Thomas Corwin,Ohio,Whig,54
1848,John C. Calhoun,South Carolina,Democratic,66
1848,Albert C. Greene,Rhode Island,Whig,56
1848,David Levy Yulee,Florida,Democratic,38
1848,Hopkins L. Turney,Tennessee,Democratic,51
1848,John Davis,Massachusetts,Whig,61
1848,Jesse D. Bright,Indiana,Democratic,36
1848,Sam Houston,Texas,Democratic,55
1848,George E. Badger,North Carolina,Whig,53
1848,Augustus C. Dodge,Iowa,Democratic,36
1848,Andrew Butler,South Carolina,Democratic,52
1848,Thomas Jefferson Rusk,Texas,Democratic,45
1848,John P. Hale,New Hampshire,Independent Democrat,42
1848,Roger S. Baldwin,Connecticut,Whig,55
1848,Jefferson Davis,Mississippi,Democratic,41
1848,John M. Berrien,Georgia,Whig,67
1848,Henry S. Foote,Mississippi,Democratic,44
1848,Alpheus Felch,Michigan,Democratic,44
1848,Solomon W. Downs,Louisiana,Democratic,47
1848,John Hopkins Clarke,Rhode Island,Whig,59
1848,Presley Spruance,Delaware,Whig,63
1848,James W. Bradbury,Maine,Democratic,46
1848,Joseph R. Underwood,Kentucky,Whig,57
1848,John Bell,Tennessee,Whig,52
1848,James M. Mason,Virginia,Democratic,50
1848,Stephen A. Douglas,Illinois,Democratic,35
1848,Robert M. T. Hunter,Virginia,Democratic,39
1848,Wyman B. S. Moor,Maine,Democratic,37
1848,Thomas Fitzgerald,Michigan,Democratic,52
1848,Herschel V. Johnson,Georgia,Democratic,36
1848,Benjamin Fitzpatrick,Alabama,Democratic,46
1848,Thomas Metcalfe,Kentucky,Whig,68
1848,Solon Borland,Arkansas,Democratic,40
1848,John P. Hale,New Hampshire,Free Soiler,42
1848,Isaac P. Walker,Wisconsin,Democratic,33
1848,Hannibal Hamlin,Maine,Democratic,39
1848,Henry Dodge,Wisconsin,Democratic,66
1848,George Wallace Jones,Iowa,Democratic,44
1848,William K. Sebastian,Arkansas,Democratic,36
1849,Thomas Hart Benton,Missouri,Democratic,67
1849,William Allen,Ohio,Democratic,46
1849,Samuel S. Phelps,Vermont,Whig,56
1849,Daniel Sturgeon,Pennsylvania,Democratic,60
1849,Willie Person Mangum,North Carolina,Whig,57
1849,Jacob W. Miller,New Jersey,Whig,49
1849,William L. Dayton,New Jersey,Whig,42
1849,Edward A. Hannegan,Indiana,Democratic,42
1849,Charles G. Atherton,New Hampshire,Democratic,45
1849,Sidney Breese,Illinois,Democratic,49
1849,William Upham,Vermont,Whig,57
1849,David Rice Atchison,Missouri,Democratic,42
1849,James Pearce,Maryland,Whig,44
1849,Henry Johnson,Louisiana,Whig,66
1849,Daniel S. Dickinson,New York,Democratic,49
1849,John Adams Dix,New York,Democratic,51
1849,John M. Clayton,Delaware,Whig,53
1849,James Westcott,Florida,Democratic,47
1849,Reverdy Johnson,Maryland,Whig,53
1849,Simon Cameron,Pennsylvania,Democratic,50
1849,Daniel Webster,Massachusetts,Whig,67
1849,Thomas Corwin,Ohio,Whig,55
1849,John C. Calhoun,South Carolina,Democratic,67
1849,Albert C. Greene,Rhode Island,Whig,57
1849,David Levy Yulee,Florida,Democratic,39
1849,Hopkins L. Turney,Tennessee,Democratic,52
1849,John Davis,Massachusetts,Whig,62
1849,Jesse D. Bright,Indiana,Democratic,37
1849,Sam Houston,Texas,Democratic,56
1849,George E. Badger,North Carolina,Whig,54
1849,Augustus C. Dodge,Iowa,Democratic,37
1849,Andrew Butler,South Carolina,Democratic,53
1849,Thomas Jefferson Rusk,Texas,Democratic,46
1849,Roger S. Baldwin,Connecticut,Whig,56
1849,Jefferson Davis,Mississippi,Democratic,42
1849,John M. Berrien,Georgia,Whig,68
1849,Henry S. Foote,Mississippi,Democratic,45
1849,Alpheus Felch,Michigan,Democratic,45
1849,Solomon W. Downs,Louisiana,Democratic,48
1849,John Hopkins Clarke,Rhode Island,Whig,60
1849,Presley Spruance,Delaware,Whig,64
1849,James W. Bradbury,Maine,Democratic,47
1849,Joseph R. Underwood,Kentucky,Whig,58
1849,John Bell,Tennessee,Whig,53
1849,James M. Mason,Virginia,Democratic,51
1849,Stephen A. Douglas,Illinois,Democratic,36
1849,Robert M. T. Hunter,Virginia,Democratic,40
1849,Thomas Fitzgerald,Michigan,Democratic,53
1849,Herschel V. Johnson,Georgia,Democratic,37
1849,Benjamin Fitzpatrick,Alabama,Democratic,47
1849,Thomas Metcalfe,Kentucky,Whig,69
1849,Solon Borland,Arkansas,Democratic,41
1849,John P. Hale,New Hampshire,Free Soiler,43
1849,Isaac P. Walker,Wisconsin,Democratic,34
1849,Hannibal Hamlin,Maine,Democratic,40
1849,Henry Dodge,Wisconsin,Democratic,67
1849,George Wallace Jones,Iowa,Democratic,45
1849,William K. Sebastian,Arkansas,Democratic,37
1849,David Stewart,Maryland,Whig,49
1849,John Wales,Delaware,Whig,66
1849,Henry Clay,Kentucky,Whig,72
1849,James Whitcomb,Indiana,Democratic,54
1849,Jeremiah Clemens,Alabama,Democratic,35
1849,Truman Smith,Connecticut,Whig,58
1849,James Shields,"Illinois,Minnesota,Missouri",Democratic,39
1849,William H. Seward,New York,Whig,48
1849,Moses Norris Jr.,New Hampshire,Democratic,50
1849,Salmon P. Chase,Ohio,Free Soiler,41
1849,Jackson Morton,Florida,Whig,55
1849,William C. Dawson,Georgia,Whig,51
1849,James Cooper,Pennsylvania,Whig,39
1850,Thomas Hart Benton,Missouri,Democratic,68
1850,Samuel S. Phelps,Vermont,Whig,57
1850,Daniel Sturgeon,Pennsylvania,Democratic,61
1850,Willie Person Mangum,North Carolina,Whig,58
1850,Jacob W. Miller,New Jersey,Whig,50
1850,William L. Dayton,New Jersey,Whig,43
1850,William Upham,Vermont,Whig,58
1850,David Rice Atchison,Missouri,Democratic,43
1850,James Pearce,Maryland,Whig,45
1850,Daniel S. Dickinson,New York,Democratic,50
1850,Daniel Webster,Massachusetts,Whig,68
1850,Thomas Corwin,Ohio,Whig,56
1850,John C. Calhoun,South Carolina,Democratic,68
1850,Albert C. Greene,Rhode Island,Whig,58
1850,David Levy Yulee,Florida,Democratic,40
1850,Hopkins L. Turney,Tennessee,Democratic,53
1850,John Davis,Massachusetts,Whig,63
1850,Jesse D. Bright,Indiana,Democratic,38
1850,Sam Houston,Texas,Democratic,57
1850,George E. Badger,North Carolina,Whig,55
1850,Augustus C. Dodge,Iowa,Democratic,38
1850,Andrew Butler,South Carolina,Democratic,54
1850,Thomas Jefferson Rusk,Texas,Democratic,47
1850,Roger S. Baldwin,Connecticut,Whig,57
1850,Jefferson Davis,Mississippi,Democratic,43
1850,John M. Berrien,Georgia,Whig,69
1850,Henry S. Foote,Mississippi,Democratic,46
1850,Alpheus Felch,Michigan,Democratic,46
1850,Solomon W. Downs,Louisiana,Democratic,49
1850,John Hopkins Clarke,Rhode Island,Whig,61
1850,Presley Spruance,Delaware,Whig,65
1850,James W. Bradbury,Maine,Democratic,48
1850,Joseph R. Underwood,Kentucky,Whig,59
1850,John Bell,Tennessee,Whig,54
1850,James M. Mason,Virginia,Democratic,52
1850,Stephen A. Douglas,Illinois,Democratic,37
1850,Robert M. T. Hunter,Virginia,Democratic,41
1850,Solon Borland,Arkansas,Democratic,42
1850,John P. Hale,New Hampshire,Free Soiler,44
1850,Isaac P. Walker,Wisconsin,Democratic,35
1850,Hannibal Hamlin,Maine,Democratic,41
1850,Henry Dodge,Wisconsin,Democratic,68
1850,George Wallace Jones,Iowa,Democratic,46
1850,William K. Sebastian,Arkansas,Democratic,38
1850,David Stewart,Maryland,Whig,50
1850,John Wales,Delaware,Whig,67
1850,Henry Clay,Kentucky,Whig,73
1850,James Whitcomb,Indiana,Democratic,55
1850,Jeremiah Clemens,Alabama,Democratic,36
1850,Truman Smith,Connecticut,Whig,59
1850,James Shields,"Illinois,Minnesota,Missouri",Democratic,40
1850,William H. Seward,New York,Whig,49
1850,Moses Norris Jr.,New Hampshire,Democratic,51
1850,Salmon P. Chase,Ohio,Free Soiler,42
1850,Jackson Morton,Florida,Whig,56
1850,William C. Dawson,Georgia,Whig,52
1850,James Cooper,Pennsylvania,Whig,40
1850,Robert W. Barnwell,South Carolina,Democratic,49
1850,Franklin H. Elmore,South Carolina,Democratic,51
1850,Robert C. Winthrop,Massachusetts,Whig,41
1850,John C. Fremont,California,Republican,37
1850,Thomas Ewing,Ohio,Whig,61
1850,Robert Rhett,South Carolina,Democratic,50
1850,William M. Gwin,California,Democratic,45
1850,Thomas Pratt,Maryland,Whig,46
1851,Thomas Hart Benton,Missouri,Democratic,69
1851,Samuel S. Phelps,Vermont,Whig,58
1851,Daniel Sturgeon,Pennsylvania,Democratic,62
1851,Willie Person Mangum,North Carolina,Whig,59
1851,Jacob W. Miller,New Jersey,Whig,51
1851,William L. Dayton,New Jersey,Whig,44
1851,William Upham,Vermont,Whig,59
1851,David Rice Atchison,Missouri,Democratic,44
1851,James Pearce,Maryland,Whig,46
1851,Daniel S. Dickinson,New York,Democratic,51
1851,Albert C. Greene,Rhode Island,Whig,59
1851,David Levy Yulee,Florida,Democratic,41
1851,Hopkins L. Turney,Tennessee,Democratic,54
1851,John Davis,Massachusetts,Whig,64
1851,Jesse D. Bright,Indiana,Democratic,39
1851,Sam Houston,Texas,Democratic,58
1851,George E. Badger,North Carolina,Whig,56
1851,Augustus C. Dodge,Iowa,Democratic,39
1851,Andrew Butler,South Carolina,Democratic,55
1851,Thomas Jefferson Rusk,Texas,Democratic,48
1851,Roger S. Baldwin,Connecticut,Whig,58
